"mlbAM_ID","Year","player_name","FF_pfx_z_diff","FF_pfx_x_FC_pfx_z_diff","FF_pfx_x_diff","FF_pfx_z_FC_pfx_x_diff","FF_release_speed_diff","FF_release_spin_rate_diff","FF_release_pos_x_diff","FF_release_pos_z_diff","CU_pfx_z_diff","CU_pfx_x_FC_pfx_z_diff","CU_pfx_x_diff","CU_pfx_z_FC_pfx_x_diff","CU_release_speed_diff","CU_release_spin_rate_diff","CU_release_pos_x_diff","CU_release_pos_z_diff","SL_pfx_z_diff","SL_pfx_x_FC_pfx_z_diff","SL_pfx_x_diff","SL_pfx_z_FC_pfx_x_diff","SL_release_speed_diff","SL_release_spin_rate_diff","SL_release_pos_x_diff","SL_release_pos_z_diff","CH_pfx_z_diff","CH_pfx_x_FC_pfx_z_diff","CH_pfx_x_diff","CH_pfx_z_FC_pfx_x_diff","CH_release_speed_diff","CH_release_spin_rate_diff","CH_release_pos_x_diff","CH_release_pos_z_diff","SI_pfx_z_diff","SI_pfx_x_FC_pfx_z_diff","SI_pfx_x_diff","SI_pfx_z_FC_pfx_x_diff","SI_release_speed_diff","SI_release_spin_rate_diff","SI_release_pos_x_diff","SI_release_pos_z_diff","pitch_usage","run_value_per_100","Stuff","est_woba"
518516,2020,"Bumgarner, Madison",0.809874024,-0.118712932,0.866979376,1.795566332,4.83118171999999,97.231205,0.0697140470000001,0.0280852839999994,0.800193263,-1.561249164,0.575556856,0.185499045,6.63781414,0.836083000000144,0.0398537990000003,0.007582417,NA,NA,NA,NA,NA,NA,NA,NA,0.0565769229999999,0.352132479,1.337824787,1.042269231,0.460726489999999,807.668403,0.009025641,0.0772649570000005,0.561576923,0.381576923,1.367269231,1.547269231,4.65038462,72.890625,0.0931923080000003,0.0013461539999992,36.6,-2,95,0.405
650644,2020,"Civale, Aaron",0.608314664,-1.062426077,0.747412453,0.923328288,3.84863256,158.180631,0.011032395,0.0275930980000005,2.048927375,0.268341997,0.583355621,-1.733913751,11.72944589,338.348547,0.0970266540000001,0.0198853769999995,0.888713413,-0.113955348,0.201058276,-0.573699789,5.16949767,205.621937,0.0882328379999999,0.0734264310000005,0.007413522,-2.013006743,1.697993119,0.307600102,2.10723686999999,465.993563,0.300794347,0.240672194,0.24695863,-1.859627391,1.544613767,0.561972254,4.34367438000001,229.539353,0.170141441,0.167216754,28.7,0.6,104,0.337
668678,2020,"Gallen, Zac",1.194507006,-0.586020517,0.842638699,0.937888824,6.24598415,32.2831350000001,0.167788741,0.0969680569999997,1.059319192,0.241680808,0.0149373739999999,-1.315937374,5.75727273,85.7350510000001,0.0015828290000001,0.0186848490000004,0.201096969,0.306403031,0.049784849,-0.457715151,0.0710605999999955,74.6739400000001,0.02569394,0.026815151,0.0011514579999999,-1.390924013,1.647542195,-0.255466724,2.13680103,816.087067,0.123802916,0.230952144,1.022236364,-1.432763636,1.689381818,0.765618182,5.86272726999999,154.492727,0.271527273,0.0909818180000003,24.6,-0.7,90,0.37
594835,2020,"Gonzales, Marco",0.556848659,0.048122145,0.916481521,1.425208035,3.354924,0.540046999999959,0.280482614,0.161003556,1.983904872,-1.610081342,0.741721966,-1.115545496,9.56300551000001,140.641728,0.299613051,0.145085478,NA,NA,NA,NA,NA,NA,NA,NA,0.07690682,0.542033578,1.410392954,0.791452556,4.22365998000001,39.2200950000001,0.410625517,0.166613721,NA,NA,NA,NA,NA,NA,NA,NA,24.2,0.4,88,0.318
572971,2020,"Keuchel, Dallas",0.46016835,-0.429377105,0.438569023,1.328114478,3.57323232,14.303132,0.004747475,0.0101346800000001,NA,NA,NA,NA,NA,NA,NA,NA,0.717205388,-1.307840308,0.43989418,0.15074074,8.94545454999999,76.911357,0.091976912,0.146777297,0.121575205,0.544730765,1.412676893,0.746370923,6.21319915999999,523.500013,0.0427054120000001,0.082375496,0.097262735,0.387834039,1.255780167,0.770683393,2.39071033,132.772227,0.12447768,0.0939503639999994,30.9,3.5,88,0.393
579328,2020,"Kikuchi, Yusei",0.756850944,-0.226815723,0.637523899,1.621190566,2.90222013,83.9213840000002,0.303959749,0.161661636,NA,NA,NA,NA,NA,NA,NA,NA,0.877712573,-0.904720447,0.0403808249999999,-0.0133729509999999,8.77908434,90.7400329999996,0.327538751,0.128675284,0.194115723,0.128284277,0.992623899,0.670223899,5.31144654000001,833.798935,0.409893082,0.186394968999999,NA,NA,NA,NA,NA,NA,NA,NA,40,0.6,95,0.288
452657,2020,"Lester, Jon",0.370070281,-0.310154078,0.642104959,1.322329318,2.01533055,122.580009,0.0374308770000002,0.0198988260000003,1.303795634,-1.794171574,0.841912537,-0.351536597,13.97618671,223.125985,0.0061923639999998,0.142602138,NA,NA,NA,NA,NA,NA,NA,NA,0.364316974,0.210021261,1.162280298,0.587942063,4.13106839,434.440468,0.0072253720000001,0.0078871369999999,0.313658886,0.228716114,1.180975151,0.638600151,1.00834337000001,282.628685,0.013578313,0.0574533129999998,30.5,0.7,83,0.332
458681,2020,"Lynn, Lance",0.717399681,-1.138471748,0.725340758,1.130530671,4.57475536,107.68756,0.155020812,0.108140621,0.899947378,-0.218014605,0.195116385,-0.486816388,5.47903454999999,9.97057499999983,0.0859838370000001,0.067511209,NA,NA,NA,NA,NA,NA,NA,NA,0.183413967,-1.285871748,0.872740758,0.596544957,4.41853035,754.907577,0.0741350979999997,0.0432450930000003,0.0132155539999999,-1.694086033,1.280955043,0.426346544,2.55012044,271.526624,0.0771906529999997,0.0328879500000001,22.2,1,88,0.272
527048,2020,"Pérez, Martín",0.376298319,0.015464985,0.831658339,1.192491673,3.38409249,131.078531,0.179432761,0.0845415980000003,1.312204193,-1.333750584,0.51755723,-0.496010839,11.07915097,341.318311,0.067502414,0.173013050000001,NA,NA,NA,NA,NA,NA,NA,NA,0.0930114939999999,0.319168957,1.135362311,0.72318186,5.13990982,476.120221,0.134878587,0.147301865,0.0459904579999999,0.534173476,1.35036683,0.770202896,3.12736698,228.673633,0.13994453,0.0490718629999999,32,0.1,76,0.294
458708,2020,"Tomlin, Josh",0.57221682,-1.618632237,0.936925752,1.253923305,2.63713052999999,288.132527,0.165933415,0.179907914,1.370402048,-0.526935381,0.154771104,-0.688695563,9.24903299,130.147261,0.224006371,0.169428669,NA,NA,NA,NA,NA,NA,NA,NA,0.109715091,-2.039280309,1.357573824,0.571991394,1.62004749,846.323258,0.520707821,0.452098234,0.567531285,-2.002468715,1.32076223,1.24923777,2.18430033999999,286.902968,0.296939705,0.191228669,51,0.9,95,0.303
