"mlbAM_ID","Year","player_name","CU_pfx_z_diff","CU_pfx_x_FF_pfx_z_diff","CU_pfx_x_diff","CU_pfx_z_FF_pfx_x_diff","CU_release_speed_diff","CU_release_spin_rate_diff","CU_release_pos_x_diff","CU_release_pos_z_diff","SL_pfx_z_diff","SL_pfx_x_FF_pfx_z_diff","SL_pfx_x_diff","SL_pfx_z_FF_pfx_x_diff","SL_release_speed_diff","SL_release_spin_rate_diff","SL_release_pos_x_diff","SL_release_pos_z_diff","CH_pfx_z_diff","CH_pfx_x_FF_pfx_z_diff","CH_pfx_x_diff","CH_pfx_z_FF_pfx_x_diff","CH_release_speed_diff","CH_release_spin_rate_diff","CH_release_pos_x_diff","CH_release_pos_z_diff","SI_pfx_z_diff","SI_pfx_x_FF_pfx_z_diff","SI_pfx_x_diff","SI_pfx_z_FF_pfx_x_diff","SI_release_speed_diff","SI_release_spin_rate_diff","SI_release_pos_x_diff","SI_release_pos_z_diff","FC_pfx_z_diff","FC_pfx_x_FF_pfx_z_diff","FC_pfx_x_diff","FC_pfx_z_FF_pfx_x_diff","FC_release_speed_diff","FC_release_spin_rate_diff","FC_release_pos_x_diff","FC_release_pos_z_diff","pitch_usage","run_value_per_100","Stuff","est_woba"
663465,2020,"Allard, Kolby",2.212356016,-1.800356016,1.159157278,-1.571157278,14.84238846,138.330824,0.059181613,0.121199189,NA,NA,NA,NA,NA,NA,NA,NA,0.336927445,-0.315868621,0.325330117,0.304271293,9.0549935,427.321581,0.033013546,0.207274819,NA,NA,NA,NA,NA,NA,NA,NA,0.787126497,-1.601486687,0.960287949,-0.145927759,4.86102082000001,92.0263190000001,0.0824785090000002,0.0313054849999998,46.5,-0.8,78,0.332
666120,2020,"Anderson, Ian",2.065555625,-1.407572432,0.517427568,-0.140555625,13.96713282,52.3430039999998,0.160504829,0.0094459420000001,NA,NA,NA,NA,NA,NA,NA,NA,0.506061737,-2.382425373,0.457425373,1.418938263,6.65983718,298.096433,0.167510176,0.0041909769999994,0.018824627,-2.424925373,0.499925373,1.943824627,0.263246269999996,23.040399,0.0055783579999999,0.0033955219999999,NA,NA,NA,NA,NA,NA,NA,NA,46.9,1.4,92,0.239
542881,2020,"Anderson, Tyler",2.643691756,-1.840358423,0.887589606,-1.690922939,18.39390681,38.6012010000004,0.018234767,0.114121863,NA,NA,NA,NA,NA,NA,NA,NA,0.355945725,-0.660802868,0.291965949,0.596823092,9.39628777,307.720662,0.136917306,0.0130209939999996,0.443852575,-0.437668365,0.515100452,0.508916242,0.821830790000007,32.1041250000003,0.633878042,0.371901528,0.814565231,-1.867571011,0.914802194,0.138203586,5.31738145,119.697219,0.393780688,0.238183853,39,0.5,91,0.371
545333,2020,"Bauer, Trevor",3.288064861,-0.911507484,1.535793241,-0.840764136,13.81965134,153.288251,0.159447909,0.319197553,1.890562867,-0.166400705,2.28090002,0.556737858,12.892453,169.686036,0.185850274,0.121350372,0.539130435,-2.461630435,0.01432971,1.90817029,8.52880435,1048.666667,0.015634058,0.0014855069999999,0.396630435,-2.971630435,0.52432971,2.05067029,0.571195650000007,0.583333000000039,0.120634058,0.226485507,1.73273803,-1.169573473,1.277727252,0.714562695,8.59663135,131.10232,0.146815493,0.0158104020000005,47.4,1.8,126,0.244
621244,2020,"Berríos, José",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.909406101,-2.307473734,0.134221986,1.263845647,9.82806155,660.822561,0.194313368,0.258218641,0.400455665,-2.588035736,0.414783988,1.772796083,0.513484559999995,64.0054380000001,0.133435035,0.0370136629999997,NA,NA,NA,NA,NA,NA,NA,NA,26,-2.4,101,0.459
669456,2020,"Bieber, Shane",2.715337606,-0.768752991,1.492571795,-0.45401282,10.45359829,4.14034200000015,0.0240991450000001,0.0015076929999997,1.861778846,-1.408862179,0.852462607,0.39954594,9.59497863,194.760683,0.062729701,0.0565598290000002,1.125733211,-2.84478083,0.583456044,1.135591575,5.37636752,691.434555,0.086251526,0.0549963370000003,NA,NA,NA,NA,NA,NA,NA,NA,0.769192395,-1.361896476,0.89942831,1.492132391,4.86065323,172.264085,0.0900950630000001,0.0419623239999999,37.8,1.2,105,0.29
656232,2020,"Bielak, Brandon",2.65360678,-0.80660678,1.249461017,-0.597538983,13.53667797,97.1681360000002,0.0516237289999998,0.0589966100000003,1.277481407,-0.669272452,1.386795345,0.77858639,9.77828991,90.3478370000002,0.142009107,0.104830256,0.806060626,-2.704426011,0.648358214,1.250007171,6.78817797000001,469.692447,0.223864733,0.187607236,NA,NA,NA,NA,NA,NA,NA,NA,0.78165678,-1.03415678,1.021911017,1.274411017,4.28192797,207.650636,0.0118262709999998,0.0312033899999999,49.4,-1.1,73,0.461
643230,2020,"Brault, Steven",1.663452632,-2.279242105,1.812319028,-1.196529555,18.2877247,157.229102,0.388565182,0.0032631580000002,1.400435714,-1.748590476,1.281667399,-0.933512637,9.18424725,225.895664,0.280234982,0.0675357139999999,0.940300552,-0.184278453,0.282644624,-0.473377475,7.15980961000001,512.938734,0.287413685,0.0088287290000002,0.588626415,-0.0522113209999999,0.414711756,-0.121703338,0.942838900000012,187.330237,0.075307983,0.06045283,NA,NA,NA,NA,NA,NA,NA,NA,43.6,-0.1,90,0.341
663460,2020,"Bubic, Kris",2.342748328,-2.196194274,1.342035858,-1.488589912,12.94773615,390.231982,0.0942119339999999,0.0871358039999998,NA,NA,NA,NA,NA,NA,NA,NA,0.502205357,-0.306773702,0.547384714,0.351953059,11.79582093,436.839025,0.204312273,0.0957209909999994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.2,-0.9,75,0.378
621111,2020,"Buehler, Walker",2.719789732,-0.618435565,1.422121711,-0.679232456,14.87285539,496.438629,0.036554438,0.0491518309999996,1.735963974,-0.712782156,1.32777512,0.304593302,9.36764706,402.67253,0.164774135,0.155420770999999,NA,NA,NA,NA,NA,NA,NA,NA,0.360142296,-2.754180757,0.713623481,1.68041498,0.35158371,95.240057,0.33036854,0.237308883,0.750873065,-1.14628483,0.894272446,1.289684211,4.10117647,282.190712,0.183343653,0.168928792,53.8,3.3,130,0.201
