mlbAM_ID,Year,player_name,CH_pfx_x,CU_pfx_x,FF_pfx_x,SL_pfx_x,CH_pfx_z,CU_pfx_z,FF_pfx_z,SL_pfx_z,CH_release_pos_x,CU_release_pos_x,FF_release_pos_x,SL_release_pos_x,CH_release_pos_z,CU_release_pos_z,FF_release_pos_z,SL_release_pos_z,CH_release_speed,CU_release_speed,FF_release_speed,SL_release_speed,CH_release_spin_rate,CU_release_spin_rate,FF_release_spin_rate,SL_release_spin_rate,SI_pfx_x,SI_pfx_z,SI_release_pos_x,SI_release_pos_z,SI_release_speed,SI_release_spin_rate,FC_pfx_x,FC_pfx_z,FC_release_pos_x,FC_release_pos_z,FC_release_speed,FC_release_spin_rate,Stf+ FF,Stf+ SI,Stf+ FC,Stf+ SL,Stf+ CH,Stf+ CU,fg_ID
669211,2020,"Akin, Keegan",1.316091954,-0.722115385,0.921129032,-0.498039216,0.706091954,-0.736730769,1.511096774,-0.176078431,2.685747126,2.69,2.520903226,2.739803922,5.553218391,5.587307692,5.861870968,5.59627451,81.29655172,77.16923077,91.86935484,80.65294118,1988.264368,2605.961538,2389.3,2369.333333,,,,,,,,,,,,,101.0,,,113.0,99.0,101.0,19362
660896,2020,"Alcala, Jorge",-1.423611111,,-0.604920635,0.303405405,0.788055556,,1.434867725,0.316540541,-2.349166667,,-2.009206349,-2.230432432,6.45,,6.73042328,6.661189189,89.19166667,,97.0042328,88.6027027,2346.333333,,2406.285714,2424.114754,-1.154,0.992,-2.122,6.664,95.7,2225.2,,,,,,,110.0,,,131.0,104.0,,19459
645261,2020,"Alcantara, Sandy",-1.364852941,0.517358491,-0.790121951,0.217123288,0.345,-0.328490566,1.281829268,0.199520548,-2.060735294,-2.025849057,-2.142743902,-2.183561644,6.015735294,5.991132075,5.944878049,5.908424658,90.08235294,82.02641509,96.85243902,87.31643836,1983.014706,2404.622642,2320.018293,2399.760274,-1.409134199,0.691341991,-2.214199134,5.93978355,96.2021645,2372.95671,,,,,,,114.0,108.0,,119.0,118.0,109.0,18684
641302,2020,"Alexander, Tyler",1.073421053,-0.4875,0.628091603,-0.433671875,0.475175439,-0.085,1.219923664,-0.0834375,2.469473684,2.4475,2.461679389,2.387890625,5.728157895,5.8075,5.717022901,5.731640625,84.47280702,81.75,90.57175573,82.61796875,1532.530973,2336.75,2198.607692,2361.945313,1.155172414,1.041655172,2.542275862,5.700965517,90.62758621,2150.613793,-0.319181818,0.533818182,2.523090909,5.631363636,85.93272727,2312.281818,68.0,75.0,97.0,96.0,85.0,,17735
663465,2020,"Allard, Kolby",1.053058824,-0.431428571,0.727728707,,1.032,-0.843428571,1.368927445,,1.885882353,1.859714286,1.918895899,,5.803647059,5.717571429,5.59637224,,82.51882353,76.73142857,91.57381703,,1743.823529,2032.814286,2171.14511,,,,,,,,-0.232559242,0.581800948,2.001374408,5.627677725,86.71279621,2263.171429,78.0,,96.0,,82.0,93.0,18694
622075,2020,"Almonte, Yency",-1.151272727,,-0.652840909,0.41445,0.464363636,,0.958295455,-0.07545,-1.914363636,,-1.667045455,-1.69395,5.619454545,,5.758977273,5.79145,87.88363636,,94.76534091,84.358,1788.763636,,2121.778409,2315.89,-1.502,0.752666667,-1.921333333,5.721333333,94.74666667,1983.8,,,,,,,79.0,99.0,,103.0,84.0,,15068
640470,2020,"Alzolay, Adbert",-1.183870968,0.99796875,-0.715901639,0.769230769,0.821935484,-0.1084375,1.400983607,0.254615385,-1.544516129,-1.3234375,-1.37557377,-1.342692308,5.870967742,6.065625,5.99352459,6.015384615,85.06129032,80.7625,94.39344262,85.08846154,1700.83871,2880.074766,2405.680328,2838.727273,-1.271,1.002,-1.332125,5.996625,94.805,2307.9375,,,,,,,95.0,88.0,,118.0,112.0,118.0,17859
474463,2020,"Anderson, Brett",1.164,-0.567721519,0.738125,-0.211566265,0.784444444,-1.078607595,1.325625,-0.483373494,1.6285,1.424177215,1.2775,1.425783133,6.404777778,6.466329114,6.26875,6.125421687,82.73277778,76.09873418,90.2125,82.23975904,1628.8,2480.341772,2139.0625,2458.096386,1.237901639,0.929737705,1.556229508,6.310163934,89.72393443,1954.95082,0.123595506,0.944494382,1.476741573,6.199775281,87.28539326,2200.202247,70.0,84.0,73.0,111.0,100.0,105.0,8223
502624,2020,"Anderson, Chase",-1.362941176,0.528571429,-0.523755656,,1.10751634,-1.243047619,1.463665158,,-1.140718954,-1.306857143,-1.071855204,,6.144379085,6.206285714,6.193303167,,82.52222222,77.19047619,92.45520362,,2257.48366,2102.114286,2187.262443,,-1.050238095,1.256428571,-1.112142857,6.186428571,92.12142857,2144.595238,0.391984733,0.611832061,-1.313129771,6.14351145,87.24503817,2456.023077,66.0,75.0,105.0,,119.0,74.0,6895
666120,2020,"Anderson, Ian",-0.8425,0.132352941,-0.385074627,,1.033863636,-0.525630252,1.539925373,,-1.468181818,-1.461176471,-1.300671642,,6.089204545,6.08394958,6.093395522,,87.44090909,80.13361345,94.10074627,,1747.568966,2098.008403,2045.665399,,-0.885,1.55875,-1.30625,6.09,93.8375,2022.625,,,,,,,92.0,64.0,,,83.0,113.0,19951
